Creator	Issue	Volume	Journal	ISSN	ID	Citation	Title	Place Labe	Language	Publisher	Date		
Andrews, E. M.	2	41	AUSTRALIAN JOURNAL OF POLITICS AND HISTORY	ISSN: 0004-9522	(Uk)RN000249208	AUSTRALIAN JOURNAL OF POLITICS AND HISTORY 41(2), 239-252. (1995)	"""For Australia's Wartime Interests"": W. M. Hughes and the Push Against Asquith, Britain, March-July 1916"	at	eng	THE UNIVERSITY OF QUEENSLAND PRESS	1995		
Otte, T. G.	439	110	ENGLISH HISTORICAL REVIEW	0013-8266	(Uk)RN000490775	ENGLISH HISTORICAL REVIEW 110(439), 1157-1179. (1995)	Great Britain, Germany, and the Far-Eastern Crisis of 1897-8	xxk	eng	LONGMAN GROUP LIMITED	1995		
Nesbitt, E.	2	15	SOUTH ASIA RESEARCH	0262-7280	(Uk)RN000733465	SOUTH ASIA RESEARCH 15(2), 221-240. (1995)	Panjabis in Britain: Cultural History and Cultural Choices	xxk	eng	OXFORD UNIVERSITY PRESS	1995		
Hilton, M.	2	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN001126210	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(2), 405-407. (1995)	The Rise of Consumer Society in Britain, 1880-1980. By John Benson	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995		
Cross, G.	2	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN001126477	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(2), 459-459. (1995)	"""We Ask For British Justice"": Workers and Racial Difference in Late Imperial Britain. By Laura Tabili"	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995		
#			AUSTRALIAN JOURNAL OF POLITICS AND HISTORY										
#													
#													
#													
Solomon, H. M.	3	26	JOURNAL OF INTERDISCIPLINARY HISTORY	0022-1953	(Uk)RN001256981	JOURNAL OF INTERDISCIPLINARY HISTORY 26(3), 496-497. (1996)	The Most Solitary of Afflictions: Madness and Society in Britain 1700-1900 by Andrew Scull	xxu	eng	THE JOURNAL OF INTERDISCIPLINARY HISTORY	1996		
Stillwell, J.	4	74	PAPERS IN REGIONAL SCIENCE	1056-8190	(Uk)RN001529511	PAPERS IN REGIONAL SCIENCE 74(4), 341-360. (1995)	Time Series Migration in Britain: The Context for 1991 Census Analysis	xxu	eng	REGIONAL SCIENCE ASSOCIATION INTERNATIONAL	1995		
Dingman, R.	4	64	PACIFIC HISTORICAL REVIEW	0030-8684	(Uk)RN001616730	PACIFIC HISTORICAL REVIEW 64(4), 632-633. (1995)	Aldrich, The Key to the South: Britain, the United States and Thailand during the Approach of the Pacific War, 1929-1942	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1995		
Murfett, M. H.	3	17	CONTEMPORARY SOUTHEAST ASIA	0129-797X	(Uk)RN001912185	CONTEMPORARY SOUTHEAST ASIA 17(3), 342-344. (1995)	"""A Strong Showing"": Britain's Struggle for Power and Influence in South-East Asia 1942-1950 By Rolf Tanner"	my	eng	INSTITUTE OF SOUTHEAST ASIAN STUDIES	1995		
Waddington, G. T.	261	81	HISTORY -LONDON THEN OXFORD-	0018-2648	(Uk)RN002003739	HISTORY -LONDON THEN OXFORD- 81(261), 22-39. (1996)	Hassgegner: German Views of Great Britain in the Later 1930s	xxk	eng	BLACKWELL PUBLISHERS	1996		
Keating, J.	1	26	EUROPEAN HISTORY QUARTERLY	ISSN:0265-6914	(Uk)RN002023969	EUROPEAN HISTORY QUARTERLY 26(1), 57-80. (1996)	Looking to Europe: Roman Catholics and Christian Democracy in 1930s Britain	xxk	eng	SAGE PUBLICATIONS	1996		
Farquharson, J.	1	26	EUROPEAN HISTORY QUARTERLY	0265-6914	(Uk)RN002023970	EUROPEAN HISTORY QUARTERLY 26(1), 81-124. (1996)	From Unity to Division: What Prompted Britain to Change its Policy in Germany in 1946?	xxk	eng	SAGE PUBLICATIONS	1996		
Levere, T. H.	3	30	CANADIAN JOURNAL OF HISTORY	ISSN:0008-4107	(Uk)RN002118890	CANADIAN JOURNAL OF HISTORY 30(3), 525-526. (1995)	R. Yeo, Defining Science: William Whewell, Natural Knowledge and Public Debate in Early Victorian Britain	xxc	eng	THE UNIVERSITY OF SASKATCHEWAN	1995		
#													
#													
#													
#													
Harris, B.	3	9	CONTEMPORARY RECORD	0950-9224	(Uk)RN002371984	CONTEMPORARY RECORD 9(3), 529-561. (1995)	Responding to Adversity: Government-Charity Relations and the Relief of Unemployment in Inter-War Britain	xxk	eng	FRANK CASS LONDON	1995		
Ion, A. H.	4	17	INTERNATIONAL HISTORY REVIEW	0707-5332	(Uk)RN002826010	INTERNATIONAL HISTORY REVIEW 17(4), 790-791. (1995)	Ian Nish, ed. Britain and Japan: Biographical Portraits	xxc	eng	INTERNATIONAL HISTORY REVIEW	1995		
Tatla, D. S.	1	21	INDOBRITISH REVIEW	0019-7211	(Uk)RN003100078	INDOBRITISH REVIEW 21(1), 111-118. (1996)	A chorus of Hushed Voices An Introduction to Punjabi Literature in Britain	ii	eng	INDO-BRITISH HISTORICAL SOCIETY	1996		
Kuchta, D.	4	67	JOURNAL OF MODERN HISTORY	0022-2801	(Uk)RN003345208	JOURNAL OF MODERN HISTORY 67(4), 923-924. (1995)	W. D. Rubinstein, Capitalism, Culture, and Decline in Britain, 1750-1990	xxu	eng	THE UNIVERSITY OF CHICAGO PRESS	1995		
Winks, R. W.	4	67	JOURNAL OF MODERN HISTORY	0022-2801	(Uk)RN003345221	JOURNAL OF MODERN HISTORY 67(4), 927-929. (1995)	Richard Symonds, Oxford and Empire: The Last Lost Cause? Nicholas Tarling, The Fall of Imperial Britain in South-East Asia; Edward Ingram, Britain's Persian Connection, 1798-1828: Prelude to the Great Game in Asia	xxu	eng	THE UNIVERSITY OF CHICAGO PRESS	1995		
Kraus, H.-C.	1	262	HISTORISCHE ZEITSCHRIFT	0018-2613	(Uk)RN003512009	HISTORISCHE ZEITSCHRIFT 262(1), 162-163. (1996)	J. J. Sack, From Jacobite to Conservative. Reaction and Orthodoxy in Britain, c. 1760-1832	gw	eng	BOEHLAU VERLAG HISTORISCHE ANTHROPOLOGIE	1996		
